,Resident Departures: by Destination: East Asia,Resident Departures: by Destination: ASEAN,Resident Departures: by Destination: Brunei,Resident Departures: by Destination: Cambodia,Resident Departures: by Destination: Indonesia,Resident Departures: by Destination: Laos,Resident Departures: by Destination: Malaysia,Resident Departures: by Destination: Myanmar,Resident Departures: by Destination: Philippines,Resident Departures: by Destination: Singapore,Resident Departures: by Destination: Vietnam,Resident Departures: by Destination: China,Resident Departures: by Destination: Hong Kong,Resident Departures: by Destination: Japan,Resident Departures: by Destination: Korea,Resident Departures: by Destination: Taiwan,Resident Departures: by Destination: East Asia: Others,Resident Departures: by Destination: Europe,Resident Departures: by Destination: Austria,Resident Departures: by Destination: Belgium,Resident Departures: by Destination: Denmark,Resident Departures: by Destination: Finland,Resident Departures: by Destination: France,Resident Departures: by Destination: Germany,Resident Departures: by Destination: Italy,Resident Departures: by Destination: Netherlands,Resident Departures: by Destination: Norway,Resident Departures: by Destination: Russia,Resident Departures: by Destination: Spain,Resident Departures: by Destination: Sweden,Resident Departures: by Destination: Switzerland,Resident Departures: by Destination: United Kingdom,Resident Departures: by Destination: East Europe,Resident Departures: by Destination: Europe: Others,Resident Departures: by Destination: The Americas,Resident Departures: by Destination: Canada,Resident Departures: by Destination: USA,Resident Departures: by Destination: The Americas: Others,Resident Departures: by Destination: South Asia,Resident Departures: by Destination: Bangladesh,Resident Departures: by Destination: India,Resident Departures: by Destination: Nepal,Resident Departures: by Destination: Pakistan,Resident Departures: by Destination: Sri Lanka,Resident Departures: by Destination: South Asia: Others,Resident Departures: by Destination: Oceania,Resident Departures: by Destination: Australia,Resident Departures: by Destination: New Zealand,Resident Departures: by Destination: Oceania: Others,Resident Departures: by Destination: Middle East,Resident Departures: by Destination: Egypt,Resident Departures: by Destination: Israel,Resident Departures: by Destination: Kuwait,Resident Departures: by Destination: Saudi Arabia,Resident Departures: by Destination: United Arab Emirates,Resident Departures: by Destination: Middle East: Others,Resident Departures: by Destination: Africa,Resident Departures: by Destination: South Africa,Resident Departures: by Destination: Africa: Others,Resident Departures: Include Overseas Thai,(DC)Resident Departures by Destination: East Asia,(DC)Resident Departures by Destination: Europe,(DC)Resident Departures by Destination: The Americas,(DC)Resident Departures by Destination: South Asia,(DC)Resident Departures by Destination: Oceania,(DC)Resident Departures by Destination: Middle East,(DC)Resident Departures by Destination: Africa,(DC)Resident Departures by Destination: ASEAN,(DC)Resident Departures by Destination: Brunei,(DC)Resident Departures by Destination: Indonesia,(DC)Resident Departures by Destination: Laos,(DC)Resident Departures by Destination: Malaysia,(DC)Resident Departures by Destination: Philippines,(DC)Resident Departures by Destination: Singapore,(DC)Resident Departures by Destination: Vietnam,(DC)Resident Departures by Destination: China,(DC)Resident Departures by Destination: Hong Kong,(DC)Resident Departures by Destination: Japan,(DC)Resident Departures by Destination: Korea,(DC)Resident Departures by Destination: Taiwan,(DC)Resident Departures by Destination: Cambodia,(DC)Resident Departures by Destination: Myanmar,(DC)Resident Departures by Destination: East Asia: Others,(DC)Resident Departures by Destination: Austria,(DC)Resident Departures by Destination: Belgium,(DC)Resident Departures by Destination: Denmark,(DC)Resident Departures by Destination: Finland,(DC)Resident Departures by Destination: France,(DC)Resident Departures by Destination: Germany,(DC)Resident Departures by Destination: Italy,(DC)Resident Departures by Destination: Netherlands,(DC)Resident Departures by Destination: Norway,(DC)Resident Departures by Destination: Russia,(DC)Resident Departures by Destination: Spain,(DC)Resident Departures by Destination: Sweden,(DC)Resident Departures by Destination: Switzerland,(DC)Resident Departures by Destination: United Kingdom,(DC)Resident Departures by Destination: East Europe,(DC)Resident Departures by Destination: Europe: Others,(DC)Resident Departures by Destination: Canada,(DC)Resident Departures by Destination: USA,(DC)Resident Departures by Destination: The Americas: Others,(DC)Resident Departures by Destination: Bangladesh,(DC)Resident Departures by Destination: India,(DC)Resident Departures by Destination: Nepal,(DC)Resident Departures by Destination: Pakistan,(DC)Resident Departures by Destination: Sri Lanka,(DC)Resident Departures by Destination: South Asia: Others,(DC)Resident Departures by Destination: Australia,(DC)Resident Departures by Destination: New Zealand,(DC)Resident Departures by Destination: Oceania: Others,(DC)Resident Departures by Destination: Egypt,(DC)Resident Departures by Destination: Israel,(DC)Resident Departures by Destination: Kuwait,(DC)Resident Departures by Destination: Saudi Arabia,(DC)Resident Departures by Destination: United Arab Emirates,(DC)Resident Departures by Destination: Middle East: Others,(DC)Resident Departures by Destination: South Africa,(DC)Resident Departures by Destination: Africa: Others,(DC)Residents Departures: Include Overseas Thai,(DC)Residents Departures: Exclude Overseas Thai,(DC)Residents Departures: Including Overseas Thai,TH: International Tourism: Number of Departures
Last Update Time,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,30/08/2017,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,27/12/2014,18/04/2017
Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"International outbound tourists are the number of departures that people make from their country of usual residence to any other country for any purpose other than a remunerated activity in the country visited. The data on outbound tourists refer to the number of departures, not to the number of people traveling. Thus a person who makes several trips from a country during a given period is counted each time as a new departure.; ; World Tourism Organization, Yearbook of Tourism Statistics, Compendium of Tourism Statistics and data files.; Gap-filled total;"
Mean,4835346,3422489.6666666665,11667.888888888889,36613.444444444445,58116.333333333336,946572.2222222222,1750666.4444444445,78860.22222222222,17187.777777777777,392724.77777777775,130080.55555555556,369023.22222222225,269927.77777777775,374893.44444444444,184683.11111111112,143815.66666666666,70513.11111111111,491061.44444444444,34352.444444444445,657.2222222222222,32551.444444444445,15245,38945.666666666664,91519.22222222222,20822.11111111111,34800.22222222222,1244,11279,10381.666666666666,28663,12907.888888888889,133264.88888888888,2973.1111111111113,21454.555555555555,54442.88888888889,1777.4444444444443,51693,972.4444444444445,114424.44444444444,8276.333333333334,89175.33333333333,6777.444444444444,1843.2222222222222,4975.888888888889,3376.222222222222,124969.44444444444,107179.11111111111,17049.555555555555,740.7777777777778,183551.11111111112,13374.111111111111,6715.222222222223,1679.5555555555557,27275.444444444445,80899.66666666667,53607.11111111111,8588.333333333334,3914.3333333333335,4674,5812383.666666667,278192.3076923077,26130.076923076922,5211,7012.461538461538,7571.307692307692,7213.538461538462,621.0769230769231,183608.92307692306,817.8461538461538,2399.230769230769,49402.61538461538,92348,1586,22511.23076923077,8663,33774.46153846154,19079.46153846154,19255,8762.384615384615,10196.846153846154,3063.4615384615386,2817.5384615384614,3515.230769230769,1064.8461538461538,54.30769230769231,1296.5384615384614,667.4615384615385,2600.153846153846,5628.153846153846,1211.076923076923,1369.7692307692307,204.69230769230768,739.6923076923077,314.84615384615387,1549.8461538461538,1671.076923076923,6212.307692307692,252.07692307692307,1293.2307692307693,324,4850.076923076923,36.92307692307692,527.9230769230769,4769.384615384615,425.46153846153845,279.3076923076923,489.84615384615387,520.5384615384615,6432.307692307692,1116.6923076923076,22.307692307692307,749.3846153846154,988.4615384615385,307.6923076923077,173.53846153846155,2938.923076923077,2055.5384615384614,432.53846153846155,188.53846153846155,331951.76923076925,3129,300789,5372888.888888889
Variance,1146209081751.5,290264584922.5,10534039.111111112,310222691.2777778,294382584.99999994,30022739040.194443,57034870724.52779,908657032.4444443,9471690.194444444,11324027972.694445,2679714964.777778,16519248950.444445,11285851644.444447,69683295834.77777,8391652148.861112,1669457842.5,210233365.6111111,11695526014.777779,68534837.27777778,707395.9444444446,63072909.27777778,16688513.5,282846501.75,489716479.4444444,27479580.611111112,56520042.44444445,2177733,13367205.75,10524468,59271215.75,15837403.61111111,631908058.6111112,5761360.111111111,17027392.777777776,78502767.61111112,934858.2777777778,64751121.25,593598.7777777778,381726530.0277778,1752982.25,295885656.25,1079708.2777777778,290254.94444444444,643957.8611111111,5641769.444444445,365440945.2777778,242630526.6111111,12024707.77777778,937514.4444444445,3308485249.111111,3712159.111111111,3250095.4444444445,849205.7777777778,132251524.52777778,623691091.25,372057758.11111116,11355846,1035852.25,8473502.5,1596103557793.7502,1910511952.3974361,37517713.91025641,2156707.6666666665,3270556.935897436,3973885.7307692305,1694439.769230769,30950.910256410254,629726432.4102565,59469.307692307695,320070.1923076923,162115272.42307693,243791564.33333334,90085.33333333333,16400595.025641024,3760595.8333333335,97830553.93589742,22728654.1025641,41629398,4425148.589743591,5854517.307692308,373140.26923076925,1012311.1025641026,1103414.358974359,201351.141025641,4593.397435897435,116731.10256410258,135630.1025641026,302149.14102564106,1408081.4743589743,169239.7435897436,77005.52564102564,9313.897435897436,178694.5641025641,24274.47435897436,491933.141025641,306057.07692307694,2090304.897435897,46518.91025641026,406664.6923076923,143791.5,1569804.9102564107,1950.076923076923,20877.410256410258,1858858.4230769232,52061.60256410257,17633.897435897434,19897.307692307695,36687.4358974359,2422631.7307692314,211918.23076923075,1725.2307692307693,144559.2564102564,105262.76923076923,12892.564102564103,241770.93589743588,128595.07692307692,357276.43589743593,19862.435897435895,4649.269230769231,2817604938.858975,0,0,1018888111111.1111
Standard Deviation,1070611.5456838207,538762.085639385,3245.61844817149,17613.1397336698,17157.58097751545,173270.71027786098,238819.74525681033,30143.93856888055,3077.611118131146,106414.41618828928,51765.96338114242,128527.2303850217,106234.88901695359,263975.93798446434,91605.9613172697,40858.999528867564,14499.426389037295,108145.85528247386,8278.577008023649,841.0683351811817,7941.8454579384625,4085.1577080940215,16818.040960528073,22129.538617974944,5242.096966969527,7517.98127454734,1475.714403263721,3656.1189463692235,3244.1436466346554,7698.780146880414,3979.6235514318573,25137.7814974017,2400.2833397561863,4126.426150772333,8860.178757288768,966.8806946970126,8046.80814049894,770.4536181872195,19537.8230626592,1324.0023602697995,17201.327165367213,1039.0901201425108,538.7531386863973,802.4698505932239,2375.240923452702,19116.509756694024,15576.601895506963,3467.6660418468473,968.2532956021604,57519.433664728575,1926.6964242223296,1802.8021090636778,921.5236175908775,11500.066283625403,24973.808104692405,19288.79877315099,3369.843616549587,1017.7682693029882,2910.928116597866,1263369.9212003388,43709.40347794095,6125.170520912574,1468.5733439861513,1808.468118573683,1993.4607422192269,1301.706483517221,175.9287078802384,25094.35060746256,243.8632971406474,565.7474633683233,12732.4495845488,15613.826063247065,300.14218852626055,4049.76481115151,1939.2255756701782,9890.932915347137,4767.457823889384,6452.084779356204,2103.6037149956715,2419.610982718567,610.8520845759383,1006.1367216060164,1050.435318796145,448.72167434350774,67.77460760415684,341.6593370070582,368.27992419367985,549.6809447539919,1186.6260886896825,411.38758317399856,277.4986948456256,96.50853555980132,422.72279818169744,155.8026776373704,701.3794558052304,553.2242555447808,1445.7886766176782,215.68242917866596,637.7026676341352,379.1984968324637,1252.918556912783,44.15967530538379,144.49017356349967,1363.399583055871,228.17011759672337,132.79268592771754,141.05781684227108,191.5396457588765,1556.4805590720468,460.3457730545929,41.53589735675358,380.20949016332617,324.4422432895711,113.54542748417526,491.7020804282161,358.60155733498556,597.7260542233674,140.93415447447754,68.1855500144219,53081.116593935505,0,0,1009399.8767144323
Skewness,0.7230204261202257,-0.8693758349688288,-1.5068738696794446,1.9374061047039255,-0.35525593473252454,-0.681595091589662,-0.834822332466096,0.8147903634820085,-0.0034363406813846917,0.06409889238774748,2.458997788539788,1.1894841092715756,1.55563111116463,1.4687778757581436,1.6938347648369336,0.1722669711253376,0.5986099494256145,-0.645667796385951,-2.2517118289054032,1.676907985493089,-1.8696205502628866,-2.649796896931199,2.0960322594175502,-0.08327588595930062,-0.5223237352108894,-2.1275505180335146,1.3602426453268348,1.9102653750054668,-1.1110781465267265,-1.4858728696514862,0.3403651014424206,-0.8264317190089496,2.37697925224586,-2.1422536235510408,-0.23173041138110223,1.6913206491254484,-1.0130247587297019,1.3314214916321745,-0.5827633677198832,0.3361344023041967,-1.0658993348478427,-1.4558658383901766,1.467455548553373,2.242057393997113,1.3028551830831197,-1.860862275204708,-2.04055456938248,-0.9310203640456713,1.394952075037044,-1.8037802101575744,-1.1940013072570006,0.5526929320050413,0.13711902744154,-1.5758511824102555,-2.2108174994105534,-1.555719029212922,0.22943302974128213,-1.3904214201132177,1.243194376661274,0.4546463047108614,0.3453166426837081,0.07934875552681896,0.331534637978373,0.9342722553669007,-0.14431737943315393,-0.21091658290269175,0.13584829691057096,0.08129016268248253,1.833647780779948,-1.056026864104869,1.479547799920895,0.24953669647485444,0.054820576768889226,0.19741284294192446,0.41567335947912254,0.7661526872625328,-0.08569129524440415,1.604779903228515,0.9149727973066388,1.1357553248842394,0.40361451879010346,-0.543866999515673,0.2263020367068825,0.5495938951117907,2.160077504790277,-0.3360251507198408,1.8463599460242168,1.1257300956052778,0.27588435553046725,1.0017843989593151,0.32208408961696333,0.7920013817809569,0.8589333870741775,0.9186083663018998,0.8827050810745644,0.8088013348294709,0.14064616815907774,2.0786788844492277,1.3068167636721377,2.504068275811271,0.20853830835517906,1.210777660358879,1.0424775110229458,1.1841814834278441,0.7275361808745183,2.145242950607105,0.28296252693307494,0.9775382334437774,-0.3623037532155116,0.5888922198079484,2.0987752166499183,0.9971839520982804,0.5065652878512663,0.31795402486431706,3.5101883586491027,-0.3142178328556181,0.003340726049811181,0.821102934525321,0.1647005206296481,0.33577451095157773,0,0,-0.25773487091115177
Kurtosis,0.7946064180425729,1.2672447965653522,1.59544500574117,3.788492444389508,0.3277564133448978,2.589865325497926,0.2803327060716372,1.5402051686634266,-0.34590563593362145,-1.4334364294509845,6.31527777656226,0.8632774689803115,2.142762580515953,0.8245234716106467,3.4684029955776925,-0.28808670918542845,3.3544895724666803,0.7975149574881879,5.635234982397163,1.4785675972426837,3.2594969088302097,7.322685203380862,5.08035693452552,0.6265592566315412,0.06235454975495891,4.401687386068501,0.2995040384265657,5.029632936636256,3.0590078748529876,2.7220143793894946,-0.2719146631843339,0.9136269381885773,6.01279852014758,4.728586193802682,3.5983879603692994,1.428849918784322,3.9499445066877303,1.035259230901353,-0.17989341295750716,0.4460690438489898,0.4372230694666879,1.9984990415406614,0.5424224921261489,6.168731764401283,0.33167630085743305,3.3152695423665772,4.096644134320913,1.0112593142394397,0.5517321198286016,2.9071557561321413,0.26082645547963157,-0.43037544975400444,-0.6765332077732467,3.8852566016963213,4.857746779075127,1.1627707886201275,0.604036991032868,0.6909153742032528,1.3649781868986421,0.6514754318454878,-0.6098360691147153,-0.030264769571470396,-0.7152949210105009,0.8844951278245907,0.042051986767638105,-0.6698877031275114,0.7716543188115783,-0.7677219638939379,3.704062486474634,0.6488364421808428,2.3480623494282074,0.9893673485811223,0.0721749667553424,-1.1069997494017443,-0.13843832187312044,0.6020008902601668,-0.9469088451896583,3.1803316959272334,-0.01669330350945808,1.8744567984896867,0.8389470123477518,0.5184910648481496,-0.40853662511974465,-1.1660053539666904,5.507872573108891,1.1091960137929298,4.14087550909861,1.6076990469622845,-1.3667301161295642,1.7186315343216978,2.3918848306189315,-0.69414754004378,-0.10713680900619993,0.9020638879738088,0.8255207365198598,-0.35136440934712754,0.9658896174381453,4.408503450227421,2.6898088244303113,7.224182381616409,-0.2174962503594502,0.9548106463181791,1.4953832857154015,1.9139463842634243,0.8570562598994438,5.669840171990161,-0.8963706527116546,0.5994652301515431,0.2641693658405653,-0.25359500518745914,4.278722150101501,0.03045003009595293,-0.8783104006968832,-1.2342875509639506,12.474162319602604,0.27547498304331564,-1.4768981029456079,0.6884818337195386,-0.6999430403910671,-0.3701705712502119,0,0,-1.0159275793532632
Coefficient Variation,0.22141363734546002,0.15741817744160272,0.2781667257101009,0.4810566173416207,0.29522820855035786,0.1830507025349652,0.136416475002808,0.3822451639045244,0.17905811664089674,0.27096435521698503,0.397953123432302,0.3482903585607516,0.3935678272593831,0.7041359135411156,0.4960169923830051,0.2841067352110519,0.20562738135592695,0.2202287646606489,0.24098945917551667,1.2797320400051795,0.24397828094826363,0.26796705202322213,0.4318334336005223,0.2418020835474448,0.2517562671237613,0.2160325651526046,1.1862655974788754,0.32415275701473745,0.3124877489132755,0.26859645350732353,0.3083094056424298,0.18863019139542908,0.8073305201362462,0.19233333172934522,0.1627426269640335,0.5439723855893677,0.15566533458106396,0.7922854848817384,0.17074868187055292,0.15997450887306772,0.19289333184849936,0.1533159185088217,0.2922887605146528,0.16127165789114206,0.7035203156412269,0.15296947059080773,0.14533244149934135,0.20338747426861323,1.307076595233155,0.3133701197259965,0.14406164329094326,0.26846499630314374,0.5486711139400567,0.42162709051539493,0.30870100129822214,0.3598179117164367,0.3923745720802934,0.2600106282814412,0.6227916381253458,0.21735831522024532,0.15711938205813145,0.23441073437878385,0.28182178928922497,0.25789348129108486,0.26329147133256064,0.18045325334546014,0.28326395868752774,0.13667282715311863,0.2981774701682107,0.23580368784187894,0.2577282495151836,0.16907595251924312,0.18924475947431307,0.17989975104723668,0.2238515035980813,0.2928524235414851,0.2498738140108856,0.3350861999146302,0.24007205884369137,0.2372901332639909,0.19939929942215184,0.3570977771343839,0.29882399983259417,0.4213957788388067,1.247974360983058,0.2635165458968708,0.5517620161942881,0.21140323891491314,0.2108375359178563,0.3396874098870669,0.20258791671775891,0.471481007996023,0.571484648124175,0.4948533616627938,0.4525477926080998,0.3310585215467755,0.23272972753875454,0.8556214767539388,0.4931081774472851,1.1703657309643942,0.25832962585630964,1.1959912061874778,0.2736955058029281,0.28586488467672533,0.5362884702146816,0.47543511899210356,0.28796350800086745,0.36796444434245523,0.24197856096551792,0.41224048010675124,1.8619540194406778,0.507362284143219,0.32822950682991625,0.3690226393235696,2.833389647857628,0.12201801406467078,0.29078806619653386,0.3258303411289717,0.3616532640503814,0.1599061114117277,0,0,0.1878691142863324
Min,3345218,2335153,4845,21838,26716,584618,1287970,32954,12011,252284,97375,218707,158928,191209,95902,84803,44795,290066,13907,103,14345,4719,22949,58034,11573,16838,186,7258,3283,11584,6750,85136,1043,11499,36409,1093,33837,306,80917,6244,56116,4516,1438,4187,1564,81012,70344,10151,74,53860,9581,4295,339,834,20424,14427,3128,1906,1222,3908003,205901,15587,3113,5047,4265,4753,290,141714,549,1281,34995,65188,1065,16454,5675,20760,11766,11814,6425,6694,2041,775,2014,555,3,579,278,1994,3999,602,826,88,169,140,612,1029,3518,102,482,28,2912,0,321,3199,116,149,297,263,3650,519,0,215,561,153,0,2200,1136,213,77,240034,3129,300789,3908000
Max,6937798,4195375,14901,77848,83455,1230941,2044002,139526,21834,542968,260423,626661,501164,903021,395797,214748,101032,659917,41366,2403,39054,17560,79816,130924,28539,39719,4012,20088,15298,38009,19692,170705,8967,24314,71372,3768,65026,2578,141735,10667,108189,7902,2854,6977,7965,140300,118536,21689,2623,237707,15117,9848,3180,42895,98744,69934,14692,4687,10706,8203521,356079,37078,7933,11237,11348,9312,981,225430,1466,3046,81450,125913,2098,29020,12607,55822,26507,36103,13225,16091,4285,4579,5492,1832,248,1922,1670,3941,7424,2196,2013,390,1564,678,3052,2747,9258,846,2919,1457,7291,140,873,8149,944,660,760,939,9252,2059,136,1467,1537,479,1797,3554,2968,727,312,429202,3129,300789,6794000
Median,4674719,3563717,12590,29515,57032,963462,1801883,72029,16715,386341,109612,329527,228219,223217,162366,146184,69704,520080,36897,209,35397,16549,34710,96818,21893,37832,338,10883,10667,29806,11803,141701,1981,22807,54097,1369,52168,560,115832,8248,92204,7258,1581,4863,2336,131701,113818,17527,157,204550,14311,6759,1704,30130,89164,62620,8390,4451,3939,5721485,267787,25330,4961,7302,7967,7049,606,182487,748,2384,45900,92128,1623,21652,8412,32168,19436,17984,8169,9262,3014,3118,3588,1001,23,1301,568,2605,5217,1143,1404,172,698,344,1471,1459,6216,167,1196,185,4753,16,489,4816,448,255,540,473,6730,1162,0,623,917,291,19,2998,1931,397,189,316169,3129,300789,5451000
No. of Obs,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1,1,9
12/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248179,21992,4264,8090,7967,6612,556,154716,810,2376,42190,65188,1647,24951,9945,28445,25650,16178,8169,10832,4029,3580,4189,706,21,1183,453,2030,5201,779,1404,178,407,148,1143,1371,6158,109,701,28,4234,2,497,5284,642,356,624,687,6730,1237,0,568,561,190,2,2732,2559,367,189,297660,3129,300789,
01/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267816,17317,3336,5047,4265,7982,290,194354,617,1310,34995,125913,1065,16454,7434,21610,20631,11814,8950,6694,3108,3458,3763,555,3,837,482,2082,3999,949,1055,158,169,140,612,1061,4566,167,482,193,3079,64,321,3468,454,187,354,263,3650,614,1,1467,729,153,19,2998,2616,213,77,306053,,,
02/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205901,15587,3113,5860,4316,4753,504,141714,835,1281,38465,70048,1151,17431,6445,20760,13147,12276,7668,8322,2784,3274,2014,667,23,579,278,1994,4119,602,826,88,327,219,612,1029,3518,110,596,185,2912,16,424,4117,357,179,297,486,3797,519,0,215,776,241,10,2200,1311,339,165,240034,,,
03/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322193,28301,4704,11237,8468,8144,602,198251,1466,2261,46483,99109,2098,28333,10660,42586,26507,26244,11624,11489,3262,4579,5492,869,12,1348,335,2892,7151,1048,1397,206,478,385,1113,2557,7011,173,1326,41,4663,0,627,8149,502,260,760,939,7015,1378,75,779,1016,270,59,3052,2968,345,257,383649,,,
04/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356079,37078,7039,8373,11348,8304,981,209375,722,2424,59364,104182,2067,25522,9581,55822,23766,36103,10650,16091,2179,3334,4272,1726,7,1301,568,3941,7424,2196,1465,290,1564,678,1641,2747,9258,384,1888,1457,5442,140,873,4816,944,660,607,473,9252,2059,37,623,1523,369,10,3166,2613,727,254,429202,,,
05/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267787,30906,7933,7670,9005,8548,652,172706,549,2927,43116,88319,1638,21652,8412,36168,18963,18011,8612,10200,2975,3118,3127,1598,248,1149,728,2869,6471,1375,1266,338,1420,168,1362,2172,7569,503,1670,547,7291,95,662,5439,448,330,360,431,7287,1718,0,670,1238,369,35,3554,2682,397,255,332501,,,
06/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232073,25069,5959,5621,6705,6093,406,158722,748,2274,38210,85972,1739,19823,5675,24767,11766,15426,6555,12749,2041,2240,2088,1007,76,1298,651,2267,5053,1143,1410,390,523,344,1546,1416,6348,157,1440,118,5841,0,571,3835,116,188,358,553,5801,904,0,566,633,466,77,2777,1574,296,110,281926,,,
07/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265011,26764,4961,5611,6167,7049,606,176669,644,2863,45900,89141,1535,23291,6867,31267,20478,16837,7288,9138,3014,3414,3334,1331,69,1922,778,2273,5442,1054,2013,126,699,464,1448,1914,6080,105,1046,146,4753,62,635,3514,210,234,556,462,5506,661,0,455,917,479,228,3331,1639,469,137,316169,,,
08/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264519,23723,4504,5140,7280,6074,652,182487,894,2985,49377,93009,1623,20662,8248,27666,19178,17223,6425,9262,3001,2688,2278,624,4,1568,769,2190,4707,1299,1152,128,839,382,1475,1149,6216,185,1036,168,4286,50,458,3199,247,358,548,330,6464,816,0,536,866,464,19,2590,1599,438,214,311892,,,
09/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249214,28647,3811,5277,8537,6046,708,166724,791,2728,45685,82489,1512,20251,7553,32168,13197,17984,6955,9227,3124,2591,2959,1301,8,1709,1670,2670,6519,921,1433,155,698,207,2674,1459,5618,144,1461,91,3717,3,444,3680,145,255,348,405,7212,1284,41,560,1537,177,0,2636,1136,511,197,302240,,,
10/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330727,34967,6677,7302,8903,8154,793,217170,1142,2331,64622,104339,1729,29020,10404,44313,19436,24154,10312,11638,2808,775,3704,1832,47,1329,1057,3055,7190,1667,1495,116,1220,394,3052,1934,6814,846,2919,490,6182,5,473,5042,522,266,427,572,7349,1418,136,1401,1254,309,0,3259,1931,663,130,397523,,,
11/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278877,24010,5329,7498,6446,6705,550,188598,714,2384,52377,92128,1446,26227,8788,37907,14448,18193,7478,8665,3215,1319,3588,1001,82,1299,472,2934,5217,1427,1363,172,551,376,1471,1420,4737,292,1196,410,4877,42,489,5607,348,149,540,365,5699,747,0,659,1107,291,0,2879,1769,396,154,329415,,,
12/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328124,25330,6113,8436,9020,9312,774,225430,700,3046,81450,100687,1368,19029,12607,35589,20866,19872,13225,8252,4285,2258,4890,626,106,1333,436,2605,4673,1284,1528,316,721,188,1999,1495,6867,102,1051,338,5774,1,389,5852,596,209,589,801,7858,1162,0,1243,693,222,1797,3032,2325,462,312,387109,,,4018000
