,DE: International Tourism: Number of Arrivals,DE: International Tourism: Number of Departures,DE: International Tourism: Receipts,DE: International Tourism: Receipts: % of Total Exports,DE: International Tourism: Receipts: for Passenger Transport Items,DE: International Tourism: Receipts: for Travel Items,DE: International Tourism: Expenditures,DE: International Tourism: Expenditures: % of Total Imports,DE: International Tourism: Expenditures: for Passenger Transport Items,DE: International Tourism: Expenditures: for Travel Items
Variance,17387141277777.777,3286858194444.4443,10639274.611111112,0.035205571367532745,1501209.1111111112,8769383,45085370.74999999,0.2554633874991835,694838,37931559.25
Standard Deviation,4169789.116703359,1812969.4411226143,3261.7900930487713,0.18763147754983103,1225.238389502676,2961.3144041117957,6714.564077436449,0.5054338606575379,833.5694332207726,6158.860223288072
Skewness,-0.06465561130864811,0.10790003205360787,0.05254411448116342,1.0509906597993748,-1.3662885072637094,0.40765635471273953,0.09112599672410035,1.0132283362149952,-1.0779923709300367,0.05211464611328659
Kurtosis,-1.4259917851402202,-1.2179391975728118,-1.6542323801020662,1.9526965156730336,2.5833519644721257,-0.7260478257565639,-1.607621407763375,0.7734542883563753,1.654263805701972,-1.3785829638571507
Coefficient Variation,0.13907899348978897,0.021431475088926333,0.06339741763277523,0.057507692902283664,0.09236702996652889,0.0775517717457587,0.06846798580691538,0.07000256262785014,0.06323702869294014,0.07255363275045734
Min,24220000,82099000,47393,2.99824384,10551,34564,88843,6.64698054,11427,76278
Max,35555000,87459000,55939,3.6586479,14564,43263,106663,8.23911455,14175,93253
Median,30411000,84692000,51645,3.23872813,13485,38068,96235,7.12624728,13303,83235
No. of Obs,9,9,9,9,9,9,9,9,9,9
2007,,82099000,49333,3.32716409,13232,36101,96188,7.67347507,13034,83154
2008,24884000,86201000,53400,3.25642027,13485,39915,105645,7.47549506,14047,91598
2009,24220000,85547000,47462,3.6586479,12738,34724,92826,8.23911455,11427,81399
2010,26875000,85872000,49128,3.4006308,14564,34564,90883,7.17678362,13303,77580
2011,28374000,84692000,53431,3.17097812,14528,38903,99840,6.64698054,13674,86166
2012,30411000,82729000,51645,3.16926271,13577,38068,96235,6.80611876,13000,83235
2013,31545000,87459000,55318,3.23872813,14033,41285,105495,7.12624728,14175,91320
2014,32999000,83008000,55939,3.14440066,12676,43263,106663,7.06472705,13410,93253
2015,34970000,83737000,47393,2.99824384,10551,36842,88843,6.77303266,12565,76278
2016,35555000,,,,,,,,,
